sample_id,F_wind_kN,w_snow_kNm,E_Pa,max_disp_x,min_disp_x,max_disp_y,min_disp_y,max_force_x,max_force_y,max_moment_z,min_moment_z
29,20.918778289515537,1.796393040382047,199999999999.99985,0.010465209668531,0.0,0.0,-0.020391378094475,11449.820372425,11909.569158566,19707.149085788,-16932.276105816
30,20.918778289515537,1.796393040382047,206277632535.01492,0.010146724286622,0.0,0.0,-0.019770811852042,11449.8203724,11909.569158521,19707.149085776,-16932.27610581
31,20.918778289515537,2.1809662226358477,190212563170.9118,0.01100773774594,0.0,0.0,-0.026163774656564,12909.93819986,14217.569158521,22985.428912535,-18326.373326968
32,20.918778289515537,2.1809662226358477,194262772683.7777,0.010778236578353,0.0,0.0,-0.025618284114307,12909.938199859,14217.569158527,22985.428912542,-18326.37332697
33,20.918778289515537,2.1809662226358477,199999999999.99985,0.010469052083866,0.0,0.0,-0.024883398016203,12909.938199851,14217.569158523,22985.428912541,-18326.37332697
34,20.918778289515537,2.1809662226358477,200360324194.48737,0.010450226001723,0.0,0.0,-0.02483865118607,12909.938199866,14217.569158508,22985.428912527,-18326.373326961
35,20.918778289515537,2.1809662226358477,206277632535.01492,0.010150449766592,0.0,0.0,-0.02412612713761,12909.938199859,14217.569158527,22985.428912542,-18326.37332697
36,20.918778289515537,2.1809662226358477,211049464042.2317,0.0099209446919948,0.0,0.0,-0.02358062730896,12909.938199892,14217.569158534,22985.428912545,-18326.373326971
37,20.918778289515537,2.486410241027313,199999999999.99985,0.010740894076822,0.0,0.0,-0.028451322814605,14069.681701365,16050.769158578,25589.303513265,-19433.677930893
38,20.918778289515537,3.01870282805323,194262772683.7777,0.011658882179885,0.0,0.0,-0.035692800548793,16090.692278449,19245.369158651,30126.908684259,-21363.306606263
39,20.918778289515537,3.01870282805323,199999999999.99985,0.011324435485666,0.0,0.0,-0.034668916872191,16090.692278353,19245.369158503,30126.908684206,-21363.306606233
40,20.918778289515537,3.01870282805323,206277632535.01492,0.010979801476909,0.0,0.0,-0.033613845489954,16090.692278265,19245.369158526,30126.908684208,-21363.306606235
41,20.918778289515537,3.907169414488192,199999999999.99985,0.012298258799659,0.0,0.0,-0.045044938353437,19463.387322618,24576.569158911,37699.337372469,-27343.365787225
42,23.8957525439884,2.1809662226358477,199999999999.99985,0.011955931575699,0.0,0.0,-0.024799215268496,13568.805604597,14378.189851964,23610.769777411,-19809.408157235
43,30.721286635009783,1.796393040382047,199999999999.99985,0.015360944682193,0.0,0.0,-0.020114195963364,17102.277036341,12438.432699105,21766.161389061,-21815.352094617
44,30.721286635009783,2.1809662226358477,194262772683.7777,0.015818558259771,0.0,0.0,-0.025332915910936,15642.159208866,14746.432699165,25044.441215824,-23209.449315778
45,30.721286635009783,2.1809662226358477,199999999999.99985,0.015364787097495,0.0,0.0,-0.024606215885206,15642.159208741,14746.432699387,25044.44121586,-23209.449315763
46,30.721286635009783,2.1809662226358477,206277632535.01492,0.014897193973084,0.0,0.0,-0.023857380428242,15642.159208854,14746.432699164,25044.441215818,-23209.449315757
47,30.721286635009783,3.01870282805323,199999999999.99985,0.015373157503001,0.0,0.0,-0.034391734741102,18260.094869604,19774.232699232,32185.920987493,-26246.382595044
48,41.63323349329034,2.1809662226358477,199999999999.99985,0.020814281341543,0.0,0.0,-0.024297681533545,24138.97431935,15335.116280356,27336.34951229,-28644.852665799
49,50.297,1.4389038302920871,199999999999.99985,0.02513366651527,0.0,0.0,-0.015385154954763,33702.54545194,11349.123183855,22830.487030888,-34246.040640615
50,50.297,1.5822799655835562,194262772683.7777,0.025877418558675,0.0,0.0,-0.017563564804485,33158.227696689,12209.523183596,24052.597932913,-33726.334726378
51,50.297,1.5822799655835562,199999999999.99985,0.025135098929919,0.0,0.0,-0.017059736384529,33158.227696693,12209.523183629,24052.597932941,-33726.334726391
52,50.297,1.5822799655835562,206277632535.01492,0.02437016809415,0.0,0.0,-0.0165405612481,33158.22769681,12209.523183567,24052.597933082,-33726.334726724
53,50.297,1.796393040382047,190212563170.9118,0.026430676232399,0.0,0.0,-0.02056720685512,32345.293810917,13494.523183627,25877.810054931,-32950.158413898
54,50.297,1.796393040382047,194262772683.7777,0.025879621038848,0.0,0.0,-0.020138399583771,32345.293811028,13494.523183658,25877.810055022,-32950.158413993
55,50.297,1.796393040382047,199999999999.99985,0.025137238229593,0.0,0.0,-0.019560709453136,32345.293810946,13494.523183602,25877.810054833,-32950.158413901
56,50.297,1.796393040382047,200360324194.48737,0.025092034928675,0.0,0.0,-0.019525534203268,32345.293810946,13494.523183598,25877.810054836,-32950.158413903
57,50.297,1.796393040382047,206277632535.01492,0.024372242288645,0.0,0.0,-0.018965422763434,32345.293810941,13494.523183596,25877.810054834,-32950.158413905
58,50.297,1.796393040382047,211049464042.2317,0.023821177713875,0.0,0.0,-0.018536608192088,32345.293810919,13494.523183625,25877.810054876,-32950.158413914
59,50.297,2.1809662226358477,186972453705.12103,0.026892811129911,0.0,0.0,-0.025728627872957,30885.175983468,15802.523183594,29156.089881599,-32960.466971312
60,50.297,2.1809662226358477,190212563170.9118,0.026434716359417,0.0,0.0,-0.025290363913727,30885.175983489,15802.523183606,29156.089881599,-32960.466971313
61,50.297,2.1809662226358477,194262772683.7777,0.025883576932829,0.0,0.0,-0.024763083178951,30885.175983469,15802.523183624,29156.089881597,-32960.46697131
62,50.297,2.1809662226358477,196124750508.6023,0.025637839421563,0.0,0.0,-0.024527983584821,30885.175983488,15802.523183581,29156.0898816,-32960.46697131
63,50.297,2.1809662226358477,200360324194.48737,0.025095870434391,0.0,0.0,-0.024009476303324,30885.175983484,15802.523183599,29156.089881617,-32960.466971356
64,50.297,2.1809662226358477,205056139762.5064,0.024521173127671,0.0,0.0,-0.023459657503362,30885.175983471,15802.523183593,29156.089881589,-32960.466971298
65,50.297,2.1809662226358477,206277632535.01492,0.024375967768614,0.0,0.0,-0.023320738048999,30885.175983462,15802.523183595,29156.089881598,-32960.466971311
66,50.297,2.1809662226358477,211049464042.2317,0.023824818959483,0.0,0.0,-0.022793448337839,30885.175983469,15802.523183601,29156.089881604,-32960.466971324
67,50.297,2.1809662226358477,215093632533.7273,0.023376874667523,0.0,0.0,-0.022364895445406,30885.175983451,15802.5231836,29156.089881596,-32960.466971307
68,50.297,2.185161087427075,199999999999.99985,0.025141122598518,0.0,0.0,-0.024101775692918,30869.233622436,15827.723183594,29191.883924768,-32975.688483432
69,50.297,2.486410241027313,194262772683.7777,0.025886719023458,0.0,0.0,-0.028436380174956,29725.432482033,17635.723183586,31759.964482314,-34067.771575256
70,50.297,2.486410241027313,199999999999.99985,0.025144132601551,0.0,0.0,-0.02762065417325,29725.432482061,17635.723183596,31759.964482311,-34067.771575254
71,50.297,2.486410241027313,206277632535.01492,0.024378926845686,0.0,0.0,-0.02678008099111,29725.432482018,17635.723183577,31759.964482303,-34067.771575225
72,50.297,3.01870282805323,190212563170.9118,0.026443517464574,0.0,0.0,-0.035579397191217,27704.421905001,20830.323183629,36297.569653267,-35997.400250581
