sample_id,F_wind_kN,w_snow_kNm,E_Pa,max_disp_x,min_disp_x,max_disp_y,min_disp_y,max_force_x,max_force_y,max_moment_z,min_moment_z
50,3.4593157747670884,2.0871021220908106,210311863124.69327,0.0034363138733644,-0.0013842731077479,0.0,-0.023090399914347,8689.8040036964,12712.43172867,18518.237046046,-16805.667757137
51,6.708212665856011,2.41629490324126,195983710237.9279,0.0053261320748441,-0.0008370781961535,0.0,-0.028608647808923,10658.617594234,14863.307818136,22006.774358876,-18685.840177755
52,3.9648844524341937,1.3704475715637583,202131100852.51425,0.0029896999891115,-0.0004096072273318,0.0,-0.015728081880557,6080.7313264995,8438.7069140314,12515.292996437,-10552.439856134
53,4.206747815591591,1.7796094561561522,207618880405.7754,0.0034320340288037,-0.0008081700755062,0.0,-0.019909677762226,7687.7488743019,10907.355131834,16054.023553205,-13971.44023501
54,1.834478920066621,3.143507292715305,197761078095.35175,0.0043692273912025,-0.0033096573227735,0.0,-0.037081412302828,12341.110958328,18964.770120827,27182.272849864,-26274.103642709
55,4.032752389809952,3.4619889894645244,201115699058.72733,0.0053109600237598,-0.0029439871567883,0.0,-0.040102116581024,14037.322314,20995.567978122,30360.093466669,-28363.645684653
56,7.722278677533128,3.640826334115209,196001770470.5672,0.007091891715111,-0.0020399004921308,0.0,-0.043170941238906,15532.041254801,22266.625275215,32657.746546381,-28834.705791588
57,6.195610967566028,2.911662072865137,198674412922.63065,0.0056029798016764,-0.0016031234582724,0.0,-0.034060686860751,12426.002058997,17808.654187812,26121.956390107,-23054.77451201
58,6.400776804300952,3.7666204849307614,184273289236.64008,0.0071435528787147,-0.0027965735465977,0.0,-0.047556182139629,15717.835140912,22951.324779768,33453.974411947,-30285.20661458
59,4.73124764335229,1.3897539992750134,189519659924.4945,0.0035208522314434,-0.0002706994707922,0.0,-0.01698966493165,6323.5943448857,8595.853404131,12840.748700568,-10498.490658857
60,2.7517483779997804,2.0532571013220373,197344418489.69943,0.0033497350421247,-0.0016625583016232,0.0,-0.02422714037261,8404.6623479146,12471.057608733,18080.98963651,-16718.713548235
61,5.023585626121417,1.954658882309508,197137320528.63223,0.0041267583244828,-0.0008039291083816,0.0,-0.023018876463329,8533.0745457231,12001.832425181,17717.61634781,-15230.564096865
62,7.281318524149714,2.043256756922975,202652394382.4116,0.004964039087617,-0.0003134739636995,0.0,-0.023350913443287,9369.1418067078,12655.434641972,18947.193648724,-15342.463228814
63,4.268309175443895,2.006172584282046,199779524580.11856,0.0038389464371846,-0.0010986193934634,0.0,-0.023338282414083,8561.5007074608,12270.276309407,17998.127670633,-15885.068576653
64,2.1244149406131294,2.1663804173881718,201044737536.5778,0.0031768345777563,-0.0019698365358319,0.0,-0.025113536844165,8695.38870953,13116.212901393,18913.673209324,-17861.964195557
65,3.829680608761163,1.632304795039948,200522725802.5749,0.0032482987863582,-0.0007766871956216,0.0,-0.018908467764533,7044.9280234692,10002.812205087,14718.906725912,-12822.992674821
66,3.5909485667949985,2.350310733701248,194084484521.04648,0.0040729217177824,-0.0017896208561917,0.0,-0.028185202565234,9718.2383729027,14299.13221689,20789.542955694,-19011.816786682
67,4.020918109555055,3.912067492918206,197767595300.42972,0.0058950525710572,-0.0035562592791168,0.0,-0.046095644368989,15742.815784699,23694.930190906,34192.686227403,-32202.092317375
68,3.70347274007293,1.837325203423087,203603137511.7988,0.0033724593476428,-0.0010519105047253,0.0,-0.020978609733503,7795.5150059876,11226.603048444,16440.339022982,-14606.90853833
69,5.15633888440187,1.3385951085941088,201844931279.3597,0.0034117336226741,-0.0001361965586674,0.0,-0.015348266558492,6223.4805915593,8311.7943212304,12494.002117352,-9941.2309054608
70,4.864819668118293,2.2823138449979763,197965783536.78915,0.0044109261971994,-0.0012583735529749,0.0,-0.0267939690825,9742.0621339451,13959.863855421,20477.611876093,-18069.189321251
71,4.842003437170978,2.70441838077318,196471079929.99728,0.0049065783793447,-0.0018029709039078,0.0,-0.032017350680644,11339.575057554,16491.827125427,24070.950099065,-21673.878846252
72,3.4192406539858737,2.3598027699930637,194433920754.24704,0.0040086418959377,-0.0018549134165553,0.0,-0.02825366329185,9716.3010825845,14346.869307476,20834.442178058,-19141.717102614
73,2.65756149824305,1.634727863626332,202207556293.6905,0.0027796658406931,-0.0011441258998014,0.0,-0.018811797916227,6794.7677877332,9954.1755901692,14493.447091678,-13177.803189643
74,1.7754598066717402,1.4855528773575686,195690392597.60617,0.0023596945114956,-0.001283517878037,0.0,-0.017683107902046,6033.2240092944,9011.3866114791,13036.629239762,-12157.67112488
75,4.028224187302173,2.224996868863373,204875726288.3614,0.0038878556889789,-0.0014085870459352,0.0,-0.025259791110139,9339.2692337874,13570.723488345,19813.250400474,-17819.047516986
76,3.856341270618645,2.610016945419506,193480444720.37164,0.0044850401570292,-0.0020370393961766,0.0,-0.031401142339222,10762.9896849,15872.049439852,23059.116822949,-21150.014424453
77,3.9242508571887,1.546404661776844,189443033125.11523,0.0033771482286429,-0.0006788419761157,0.0,-0.018952504288868,6739.8019639332,9492.5153596218,14006.701313461,-12063.959718003
78,3.4168714861322207,1.844616808726012,210414057424.8749,0.0031664812100263,-0.0011135092618254,0.0,-0.020387902860252,7759.6683810287,11254.739922134,16442.066374766,-14750.527153362
79,3.128123707361626,3.0652692537813384,197727899905.8808,0.0046112899451147,-0.0027943415184005,0.0,-0.036126162379881,12330.318952067,18564.963405181,26786.978290823,-25238.372240057
80,3.633552219884772,1.7967826917889398,191259339985.5994,0.003515619122954,-0.0010911158587215,0.0,-0.021839251790885,7626.0636881729,10979.432021037,16079.93257464,-14281.104364826
81,2.948303865659162,3.217099130901875,202113297412.229,0.0046413549219288,-0.0029751124930097,0.0,-0.03710224735122,12866.979528731,19466.462071232,28043.47545578,-26583.890750001
82,4.496775978342035,1.727246681579889,216533826770.8444,0.003340325242678,-0.0006297754177493,0.0,-0.018517214825339,7553.030246875,10608.601339901,15668.365486931,-13442.208087798
83,5.320405375355437,1.7296748848804513,205477478979.2924,0.0038298162955899,-0.0004118778562416,0.0,-0.019518578785536,7744.5357654007,10667.635656926,15862.097992135,-13228.205422924
84,5.681847951608432,1.3487386991335093,201674015661.35376,0.0036252154865973,-4.9164575799228e-05,0.0,-0.01546390370524,6378.182679442,8400.9320089575,12690.68713252,-9877.8950430276
85,3.2089463584143627,1.4440317140955428,200776406375.88925,0.0028017005675251,-0.0007433137895162,0.0,-0.016711652026153,6192.808568629,8839.5236645381,12983.760289548,-11395.143644223
86,3.911794252934,2.5018982221020285,203384861538.149,0.0041709872554353,-0.0017898599288415,0.0,-0.028628684165809,10364.813727558,15226.242155722,22149.213933612,-20212.648377651
87,1.6771090272639495,2.334022194112825,196870912178.30508,0.0033391418149337,-0.0023660784447259,0.0,-0.027647890400361,9232.8284340107,14098.080953373,20248.641778131,-19418.372246212
